file,ctime,Extractiontime
gamma_test_generated_11260.hdf5,1548084442,1548084659
gamma_test_generated_11261.hdf5,1548084442,1548084679
gamma_test_generated_11262.hdf5,1548084442,1548084678
gamma_test_generated_11263.hdf5,1548084442,1548084665
gamma_test_generated_11264.hdf5,1548084442,1548084681
gamma_test_generated_11265.hdf5,1548084442,1548084662
gamma_test_generated_11266.hdf5,1548084442,1548084674
gamma_test_generated_11267.hdf5,1548084442,1548084682
gamma_test_generated_11268.hdf5,1548084442,1548084658
gamma_test_generated_11269.hdf5,1548084442,1548084664
gamma_test_generated_11270.hdf5,1548084442,1548084684
gamma_test_generated_11271.hdf5,1548084442,1548084668
gamma_test_generated_11272.hdf5,1548084442,1548084666
gamma_test_generated_11273.hdf5,1548084442,1548084686
gamma_test_generated_11274.hdf5,1548084442,1548084688
gamma_test_generated_11275.hdf5,1548084443,1548084681
gamma_test_generated_11276.hdf5,1548084443,1548084677
gamma_test_generated_11277.hdf5,1548084443,1548084690
gamma_test_generated_11278.hdf5,1548084443,1548084691
gamma_test_generated_11279.hdf5,1548084443,1548084678
gamma_test_generated_11280.hdf5,1548084443,1548084694
gamma_test_generated_11281.hdf5,1548084443,1548084680
gamma_test_generated_11282.hdf5,1548084443,1548084671
gamma_test_generated_11283.hdf5,1548084443,1548084673
gamma_test_generated_11284.hdf5,1548084443,1548084675
gamma_test_generated_11285.hdf5,1548084443,1548084685
gamma_test_generated_11286.hdf5,1548084443,1548084695
gamma_test_generated_11287.hdf5,1548084443,1548084684
gamma_test_generated_11288.hdf5,1548084443,1548084697
gamma_test_generated_11289.hdf5,1548084443,1548084698
gamma_test_generated_11290.hdf5,1548084443,1548084699
gamma_test_generated_11291.hdf5,1548084443,1548084700
gamma_test_generated_11292.hdf5,1548084443,1548084701
gamma_test_generated_11293.hdf5,1548084443,1548084693
gamma_test_generated_11294.hdf5,1548084443,1548084701
gamma_test_generated_11295.hdf5,1548084443,1548084703
gamma_test_generated_11296.hdf5,1548084443,1548084683
gamma_test_generated_11297.hdf5,1548084443,1548084688
gamma_test_generated_11298.hdf5,1548084443,1548084704
gamma_test_generated_11299.hdf5,1548084443,1548084697
gamma_test_generated_11300.hdf5,1548084443,1548084687
gamma_test_generated_11301.hdf5,1548084443,1548084689
gamma_test_generated_11302.hdf5,1548084443,1548084691
gamma_test_generated_11303.hdf5,1548084444,1548084692
gamma_test_generated_11304.hdf5,1548084444,1548084707
gamma_test_generated_11305.hdf5,1548084444,1548084694
gamma_test_generated_11306.hdf5,1548084444,1548084708
gamma_test_generated_11307.hdf5,1548084444,1548084710
gamma_test_generated_11308.hdf5,1548084444,1548084711
gamma_test_generated_11309.hdf5,1548084444,1548084712
gamma_test_generated_11310.hdf5,1548084444,1548084713
gamma_test_generated_11311.hdf5,1548084444,1548084696
gamma_test_generated_11312.hdf5,1548084444,1548084714
